,Лестницы,П,N/A,П,N/A,П,П,,П,П,П,П,П,П,Д,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВК (К),Трубы / Дренаж,Р-50,П,П,N/A,П,N/A,,Р-50,N/A,N/A,П,N/A,N/A,N/A,,Д,N/A,,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,Оборудование,П,N/A,N/A,N/A,N/A,N/A,,N/A,П,П,П,П,П,N/A,,П,Д,,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОВ (Вент.),Воздухораспредел.,П,N/A,N/A,N/A,П,N/A,,П,П,N/A,N/A,N/A,N/A,N/A,,Р-50,N/A,,Д,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,Воздуховод,Р-50,П,П,П,П,N/A,,Р-50,Р-50,N/A,П,Р-50,П,П,,Р-150,N/A,,N/A,Д,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,Оборудование,П,N/A,N/A,N/A,N/A,N/A,,П,П,П,П,N/A,N/A,N/A,,Р-50,N/A,,N/A,П,Д,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОВ (Отоп.),Трубы,П,N/A,N/A,N/A,П,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,П,П,,N/A,П,П,,Д,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,Оборудование,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,П,П,П,П,П,N/A,,П,П,,N/A,П,П,,П,Д,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВК (В),Трубы,П,N/A,N/A,N/A,П,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,П,N/A,,Р-50,Р-50,Р-50,,П,П,,Д,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,Оборудование,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,П,П,П,П,П,N/A,,N/A,N/A,,N/A,N/A,N/A,,П,П,,N/A,Д,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
АУПТ,Оборудование,Р-50,N/A,П,П,N/A,N/A,,П,П,П,П,П,П,П,,П,П,,П,Р-50,П,,П,П,,П,П,,Д,N/A,N/A,,N/A,N/A,N/A,N/A
,Трубы,Р-50,N/A,П,П,N/A,N/A,,П,П,N/A,П,П,П,П,,Р-150,П,,П,Р-50,П,,Р-150,П,,Р-150,П,,П,Д,N/A,,N/A,N/A,N/A,N/A
,Спринклеры,N/A,N/A,N/A,N/A,N/A,N/A,,П,П,N/A,П,N/A,N/A,N/A,,П,N/A,,П,Р-50,П,,Р-50,П,,Р-50,N/A,,N/A,N/A,Д,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЭО, ЭС, ЭМ, СС",Кабельканалы / Лотки,N/A,N/A,П,N/A,N/A,N/A,,N/A,N/A,N/A,П,N/A,N/A,N/A,,Р-100,П,,N/A,Р-100,П,,Р-100,N/A,,Р-100,Р-50,,Р-50,Р-100,П,,Д,N/A,N/A,N/A
,Светильники,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,Д,N/A,N/A
,Оборудование,П,N/A,N/A,N/A,П,N/A,,П,П,П,П,П,П,П,,П,П,,N/A,N/A,П,,N/A,N/A,,П,П,,N/A,N/A,N/A,,N/A,N/A,Д,N/A
,Щиты / Шкафы,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,П,N/A,,N/A,Р-100,Р-50,,Р-100,N/A,,N/A,Р-50,,П,П,П,,N/A,N/A,N/A,Д
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Виды проверок:,Порядок приоритетов проверок:,,,,,,,"Пока не устранены проверки более высокого уровня, проверки более низких уровней не производятся.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Р - Растояние до объекта,Первый уровень _______________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,П - Пересечение,Второй уровень ________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Д - Дублирование,Третий уровень ________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Четвертый уровень _____________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Пятый уровень _______________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
